Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Best_Threshold,Best_Threshold_F1
Random Forest Baseline,0.7906316536550745,0.632996632996633,0.5026737967914439,0.5603576751117735,0.8244361776331085,0.6146902105567849,0.25,0.608875128998968
Random Forest Balanced,0.7636621717530163,0.5469107551487414,0.6390374331550802,0.5893958076448829,0.8271254746958072,0.6166136238168121,0.35,0.6204081632653061
XGBoost,0.7991483321504613,0.6596491228070176,0.5026737967914439,0.5705614567526556,0.8423506161357824,0.6549660445446274,0.3,0.6308871851040526
XGBoost Balanced,0.7530163236337828,0.5234657039711191,0.7754010695187166,0.625,0.842878917047715,0.6593910020329476,0.55,0.6320541760722348
